Temp_ID,Al2O3,B2O3,BaO,CaO,K2O,Li2O,MgO,Na2O,P2O5,SiO2,SnO2,SrO,TiO2,ZnO,ZrO2,value
2079,0,0,0,14.28857107,0,14.28857107,0,0,0,71.42285786,0,0,0,0,0,0.24
2080,8.819999527,0,0,24.98999929,0,0,0,0,0,66.19000118,0,0,0,0,0,0.24
2081,12.42372715,4.391317245,1.060318034,5.261578683,0,0,5.23156947,0,0,67.95038517,0.090027011,3.571071241,0,0,0.020006001,0.24
2082,7.170000008,0,0,14.26000009,5.019999933,0,4.499999957,5.190000008,0,63.86,0,0,0,0,0,0.24
2083,4.880000068,0,0,10.07999982,5.010000181,0,9.380000025,5.789999907,0,64.85999999,0,0,0,0,0,0.24
2084,5.089999959,0,0,4.999999809,4.749999819,0,9.270000104,5.889999641,0,64.4800009,0,5.51999977,0,0,0,0.24
2085,16.79000108,0,0,0,9.659999939,0,0,0,59.00999888,14.5400001,0,0,0,0,0,0.24
2086,3.18000006,0,1.269999978,15.02999969,4.130000104,0,0,4.179999818,0,70.11000045,0,0,0,0,2.0999999,0.24
2087,0,39.99999924,0,0,0,0,0,33.33000119,0,26.66999957,0,0,0,0,0,0.24
2088,8.090808963,0,0,26.66266522,0,0,0.260025984,0,0,64.98649983,0,0,0,0,0,0.24
2089,0,0,0,0,0,0,0,0,49.70000076,0,0,50.29999924,0,0,0,0.24
2090,18,0,0,0,0,0,12,18,0,50,0,0,0,0,2,0.24
2091,0.399999999,6.399999986,0,29.4999995,0,0,0,0.899999961,59.40000052,3.400000037,0,0,0,0,0,0.24
2094,5,0,3,13,6,0,0,4,0,65,0,0,0,0,4,0.2381696
2095,16.70000076,0,0,17.29999924,0,0,0,0,0,66,0,0,0,0,0,0.24
2098,0.399999999,6.399999986,0,22.49999962,0,0,0,0.899999961,66.4000004,3.400000037,0,0,0,0,0,0.24
2100,12.42372741,4.421326552,1.850555223,6.421926767,0,0,3.911173507,0,0,69.01070229,0.110033011,1.83054924,0,0,0.020006002,0.24
2101,18.76999974,0,0,0,12.49999952,0,0,0,68.73000074,0,0,0,0,0,0,0.24
2102,12.33369995,4.461338408,1.400420092,5.091527575,0,0,5.191557488,0,0,67.88036424,0.080024005,3.551065247,0,0,0.010003001,0.24
2103,3.200000063,0,1.700000056,13.97000033,4.159999867,0,0,4.210000058,0,70.63999973,0,0,0,0,2.119999896,0.24
2104,3.400000144,8.500000122,0,15.00000021,0,12.75000018,0,12.75000018,47.59999916,0,0,0,0,0,0,0.24
2106,15,0,0,0,0,0,15,10,0,60,0,0,0,0,0,0.24
2107,5,0,4,12,6,0,0,4,0,65,0,0,0,0,4,0.2393684
2109,0,0,4.80000034,0,3.80000007,0,0,15.20000028,0,76.19999931,0,0,0,0,0,0.24
2111,9.899999807,0,0,0,10.27999993,0,9.140000518,10.23999997,0,60.43999978,0,0,0,0,0,0.24
2113,0,0,0,0,0,0,0,0,47.40000153,0,0,52.59999847,0,0,0,0.24
2114,0.579942004,0,0,10.29897056,0,0,6.289371187,12.63873679,0,70.19297946,0,0,0,0,0,0.24
2115,9.420000031,3.680000049,2.509999978,11.42000002,0,0,11.13000006,0,0,61.83999986,0,0,0,0,0,0.24
2119,4.360000092,0,0,11.64000023,4.959999991,0,0,14.9799994,0,62.54000032,0,0,0,0,1.519999966,0.24
2121,0,1.000099988,0,16.18161812,5.190518997,0,3.100309869,5.590559088,66.33663406,0,0,0,0,2.600259875,0,0.24
2122,12,0,0,0,0,16,6,0,0,64,0,0,0,0,2,0.24
2123,0,0,0,10,0,0,10,15,0,65,0,0,0,0,0,0.24
2125,3.180000059,0,1.269999978,15.0299997,4.130000105,0,0,4.179999818,0,70.11000044,0,0,0,0,2.0999999,0.24
2126,10.10000021,3.699999986,2.519999939,11.47000008,0,0,11.16999989,0,0,61.0399999,0,0,0,0,0,0.24
2127,2.778912967,42.39885549,0,7.202697332,0,10.93175291,9.246015668,3.586023671,0,23.85574197,0,0,0,0,0,0.24
2128,4,0,3,16,1.5,0,0,7.5,0,64,0,0,0,0,4,0.24
2129,5.050000106,0,3.029999921,13.1299999,6.059999842,0,0,4.039999894,0,64.65000045,0,0,0,0,4.039999894,0.24
2130,8,0,0,0,0,11.5,0,34.5,46,0,0,0,0,0,0,0.24
2131,11.59231867,1.19023811,3.78075614,5.361072372,0,0,5.321064409,0,0,71.22424426,0.110022004,1.400280039,0,0,0.020004,0.24
2132,0,0,0,12.5,0,0,0,25,0,62.5,0,0,0,0,0,0.24
2133,5.020000029,0,0,5.380000166,4.940000104,0,15.05000033,6.170000135,0,63.43999923,0,0,0,0,0,0.24
2134,0,0,0,0,3.700000145,0,0,23.600001,0,72.69999885,0,0,0,0,0,0.24
2135,0,0,0,0,0,25,0,0,0,75,0,0,0,0,0,0.226616778
2137,0,24.29999924,0,0,0,0,0,23.20000076,0,52.5,0,0,0,0,0,0.24
2138,8.310000455,16.30999954,0,8.869999924,0,0,3.559999958,0,0,62.16000011,0.150000007,0.620000007,0,0,0.02,0.24
2139,25,0,0,0,0,18,0,0,0,57,0,0,0,0,0,0.24
2140,4.959999991,0,0,14.61999975,5.24999995,0,4.760000183,6.119999827,0,64.2900003,0,0,0,0,0,0.24
2141,8.230822757,16.32163212,0,8.880888346,0,0,3.560356036,0,0,62.21622171,0.15001501,0.620062021,0,0,0.020002,0.24
2142,9.75,0,0,23.86000061,0,0,0,0,0,66.38999939,0,0,0,0,0,0.24
2145,0,0,10,0,5,0,0,10,0,75,0,0,0,0,0,0.24
2146,25,0,0,0,0,17,0,0,0,58,0,0,0,0,0,0.24
2148,0,4.260000336,0,0,0,17.88999984,0,4.790000082,1.650000017,53.59999982,0,0,0,17.80999991,0,0.24
2149,10,10,0,0,0,0,0,12,0,50,0,0,0,18,0,0.24
2150,1,0,0,0,19,0,5,0,0,75,0,0,0,0,0,0.24
2151,12.10242083,6.511302468,2.060412018,5.231046211,0,0,6.001200221,0,0,66.58331614,0.070014003,1.44028811,0,0,0,0.24
2152,0,0,0,0,0,0,0,21.05263158,0,78.94736842,0,0,0,0,0,0.229282
2153,10,10,0,0,0,0,0,20,0,60,0,0,0,0,0,0.24
2154,0,0,0,0,0,45,0,0,0,55,0,0,0,0,0,0.24
2155,0,0,0,20,0,0,8,8,0,64,0,0,0,0,0,0.24
2156,11.66023358,9.610192295,0,5.180103665,0,0,8.950179217,0,0,64.59129108,0.008000161,0,0,0,0,0.24
2157,15.0200006,0,0,0,10.05000029,0,13.50000013,10.08000002,0,51.34999896,0,0,0,0,0,0.24
2160,0,0,7.690769262,0,0,0,0,15.38153852,0,76.92769221,0,0,0,0,0,0.239666667
2162,14.31999956,0,0,0,0,0,0,10.11999979,0,60.29000034,0,0,0,15.27000031,0,0.24
2163,7.590000255,16.38999961,0,3.490000057,0,0,3.470000076,0,0,63.36999979,0.070000001,5.610000209,0,0,0.01,0.24
2164,0,0,0,0,0,0,0,15.38153852,0,76.92769221,0,7.690769262,0,0,0,0.236
2165,5.42000018,39.70999984,0,0,0,0,54.86999998,0,0,0,0,0,0,0,0,0.24
2166,3.400000144,8.500000122,0,0,0,12.75000018,15.00000021,12.75000018,47.59999916,0,0,0,0,0,0,0.24
2168,8.24742268,0,0,0,15.46391753,0,15.46391753,0,60.82474227,0,0,0,0,0,0,0.24
