id,Glass_ID,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,TiO2,ZnO,SrO,ZrO2,SnO2,P2O5,value
39536,359406,0.000,75.000,0.000,0.000,0.000,5.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.398
108669,900014,0.000,75.000,0.000,0.000,0.000,5.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.398
140785,888620,0.000,60.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396
10647,456007,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.373016
196371,859685,45.790,0.000,0.000,0.000,26.710,0.000,0.000,24.160,0.000,0.000,0.000,0.000,0.000,0.000,3.340,0.367
103816,841304,76.150,8.760,0.000,0.000,0.000,0.000,0.000,14.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.355
6137,589489,0.000,78.947,0.000,0.000,0.000,0.000,21.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.353
79192,881220,0.000,80.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.352
186530,438473,56.000,16.000,12.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.350262
33789,557177,0.000,80.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.35
168243,546245,72.653,0.000,0.000,0.000,0.000,0.000,0.000,27.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.345679
75676,546247,62.143,0.000,0.000,0.000,0.000,0.000,0.000,37.857,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.344017
62006,1003110,0.000,55.000,4.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,31.000,0.000,0.000,0.000,0.000,0.343
71421,1003109,0.000,55.000,3.500,0.000,0.000,0.000,10.000,0.000,0.000,0.000,31.500,0.000,0.000,0.000,0.000,0.341
177963,1003108,0.000,55.000,3.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,0.34
46186,546246,67.347,0.000,0.000,0.000,0.000,0.000,0.000,32.653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.338235
15840,881221,0.000,75.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.337
126032,271157,0.000,0.000,30.000,0.000,70.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.337
97563,841303,76.400,8.800,0.000,0.000,0.000,0.000,0.000,14.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.334
76657,239960,0.000,33.000,0.000,0.000,0.000,0.000,0.000,33.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,0.3308
4860,825614,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,50.000,0.33
6623,1003103,0.000,55.000,0.500,0.000,0.000,0.000,10.000,0.000,0.000,0.000,34.500,0.000,0.000,0.000,0.000,0.33
24232,365804,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.33
26379,825615,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,50.000,0.33
40862,244809,0.000,33.000,0.000,0.000,0.000,0.000,0.000,33.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,0.33
95016,143340,0.000,0.000,0.000,0.000,0.000,52.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.500,0.33
102774,143341,0.000,0.000,0.000,0.000,0.000,54.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,45.700,0.33
120037,437732,0.000,0.000,0.000,0.000,0.000,54.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,45.700,0.33
134747,894979,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.33
137054,437731,0.000,0.000,0.000,0.000,0.000,52.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.500,0.33
159319,1003107,0.000,55.000,2.500,0.000,0.000,0.000,10.000,0.000,0.000,0.000,32.500,0.000,0.000,0.000,0.000,0.33
197488,478266,15.000,56.100,0.000,0.000,0.000,0.000,0.000,0.000,28.900,0.000,0.000,0.000,0.000,0.000,0.000,0.329843
17913,239959,0.000,37.000,0.000,0.000,0.000,0.000,0.000,37.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,0.3297
2997,493925,0.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,0.329
24034,244808,0.000,36.500,0.000,0.000,0.000,0.000,0.000,36.500,0.000,0.000,27.000,0.000,0.000,0.000,0.000,0.329
94715,1003106,0.000,55.000,2.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,0.329
130167,1003104,0.000,55.000,1.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,0.328
12927,1003105,0.000,55.000,1.500,0.000,0.000,0.000,10.000,0.000,0.000,0.000,33.500,0.000,0.000,0.000,0.000,0.327
24350,439238,0.000,0.000,0.000,9.910,0.000,0.000,0.000,0.000,49.990,0.000,0.000,0.000,0.000,0.000,40.100,0.327
30059,135679,0.000,0.000,0.000,9.910,0.000,0.000,0.000,0.000,49.990,0.000,0.000,0.000,0.000,0.000,40.100,0.327
47889,779159,0.000,80.800,0.000,0.000,0.000,0.000,0.000,19.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.323529
119207,930392,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,0.323
167194,1007525,0.000,0.000,0.000,0.000,29.167,0.000,0.000,20.833,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.322857
89029,255053,20.000,0.000,26.700,0.000,53.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.322
129691,589252,20.000,0.000,26.700,0.000,53.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.322
68597,156652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.206,0.000,0.000,14.429,0.000,0.000,0.000,41.366,0.322
94076,459565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.210,0.000,0.000,14.430,0.000,0.000,0.000,41.360,0.322
161428,255058,5.000,0.000,31.700,0.000,63.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.321
14018,589257,5.000,0.000,31.700,0.000,63.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.321
70190,156653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.170,0.000,0.000,21.200,0.000,0.000,0.000,40.630,0.321
140264,459566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.170,0.000,0.000,21.200,0.000,0.000,0.000,40.630,0.321
178770,456009,0.000,96.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.320225
16170,138444,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.32
45771,350014,0.000,63.158,0.000,0.000,0.000,0.000,0.000,21.053,0.000,0.000,15.789,0.000,0.000,0.000,0.000,0.32
90408,143339,0.000,0.000,0.000,0.000,0.000,47.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.400,0.32
103116,308384,0.000,0.000,8.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,0.000,0.000,46.000,0.32
107019,866085,0.000,0.000,8.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,0.000,0.000,46.000,0.32
115823,589496,0.000,78.947,0.000,0.000,0.000,0.000,21.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.32
155566,437729,0.000,0.000,0.000,0.000,0.000,44.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.800,0.32
168548,837589,0.000,63.158,0.000,0.000,0.000,0.000,0.000,21.053,0.000,0.000,15.789,0.000,0.000,0.000,0.000,0.32
181354,143338,0.000,0.000,0.000,0.000,0.000,44.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.800,0.32
189545,437730,0.000,0.000,0.000,0.000,0.000,47.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.400,0.32
184205,1007524,0.000,0.000,0.000,0.000,29.897,0.000,0.000,20.619,0.000,0.000,0.000,0.000,0.000,0.000,49.485,0.31984
154821,930860,58.420,27.710,3.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,9.950,0.319
65241,1007523,0.000,0.000,0.000,0.000,30.612,0.000,0.000,20.408,0.000,0.000,0.000,0.000,0.000,0.000,48.980,0.318464
100767,888331,0.000,75.000,0.000,0.000,0.000,0.000,5.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.318
151819,1010632,0.000,64.930,0.000,15.030,0.000,0.000,0.000,0.000,0.000,0.000,20.040,0.000,0.000,0.000,0.000,0.318
115195,239958,0.000,42.000,0.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.3167
98713,496541,0.000,48.241,2.915,0.000,0.000,0.000,0.000,0.000,31.658,0.000,0.000,0.000,0.000,0.000,17.186,0.316406
155575,439212,0.000,0.000,10.070,0.000,0.000,0.000,0.000,0.000,49.900,0.000,0.000,0.000,0.000,0.000,40.030,0.316
57806,244807,0.000,42.000,0.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.316
78711,496548,0.000,0.000,2.124,0.000,0.000,0.000,0.000,0.000,32.895,0.000,0.000,0.000,0.000,0.000,64.981,0.315217
23339,835413,0.000,36.000,0.000,0.000,0.000,0.000,64.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314815
159123,835402,0.000,75.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314815
105675,4806,46.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.350,0.000,0.000,0.000,0.000,0.000,0.314
151980,71337,46.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.350,0.000,0.000,0.000,0.000,0.000,0.314
1818,779158,0.000,82.500,0.000,0.000,0.000,0.000,0.000,17.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3125
67514,452764,48.925,0.000,4.882,0.171,32.771,0.000,0.000,2.170,1.427,0.000,9.654,0.000,0.000,0.000,0.000,0.312
37353,4808,53.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,0.000,0.312
48412,71339,53.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,0.000,0.312
66728,1010634,0.000,64.930,0.000,15.030,0.000,0.000,0.000,0.000,0.000,0.000,20.040,0.000,0.000,0.000,0.000,0.312
193507,1007521,0.000,0.000,0.000,0.000,32.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,48.000,0.311516
196574,1010630,0.000,65.000,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.311
32272,478267,30.000,46.700,0.000,0.000,0.000,0.000,0.000,0.000,23.300,0.000,0.000,0.000,0.000,0.000,0.000,0.310185
8511,143337,0.000,0.000,0.000,0.000,0.000,42.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.400,0.31
17493,6506,18.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,0.31
30742,541341,76.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.31
48332,25287,18.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,0.31
120034,437728,0.000,0.000,0.000,0.000,0.000,42.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.400,0.31
125789,138443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,50.000,0.31
154065,437744,0.000,0.000,0.000,0.000,0.000,54.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,45.300,0.31
156660,143332,0.000,0.000,0.000,0.000,0.000,54.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,45.300,0.31
169501,407938,18.000,23.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,0.31
134041,452763,58.739,0.000,5.863,0.221,23.924,0.000,0.000,2.605,1.710,0.000,6.939,0.000,0.000,0.000,0.000,0.31
49136,456214,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.309
144776,456010,0.000,94.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.308824
35487,793490,0.000,40.930,20.960,0.000,38.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.308
37311,1010633,0.000,64.800,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.308
73006,1007522,0.000,0.000,0.000,0.000,31.313,0.000,0.000,20.202,0.000,0.000,0.000,0.000,0.000,0.000,48.485,0.307032
72979,930859,60.330,25.860,3.830,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,9.910,0.307
74513,881513,0.000,50.000,0.000,0.000,0.000,0.000,40.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.307
45245,28032,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.306
78017,138459,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.306
86301,470133,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.306
111094,498720,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.306
118534,470142,0.000,85.800,0.000,0.000,0.000,14.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.306
152571,419192,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.306
97066,493241,0.000,68.200,9.100,0.000,0.000,0.000,22.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.306
98590,456011,0.000,92.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.305085
10532,407926,0.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,0.305
57412,25286,0.000,40.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,0.305
127865,439237,0.000,0.000,0.000,9.820,0.000,0.000,10.190,0.000,39.960,0.000,0.000,0.000,0.000,0.000,40.030,0.305
83555,825206,0.000,62.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.304
170053,825207,0.000,60.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.304
193523,1010631,0.000,64.800,0.000,15.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.304
169697,496540,0.000,60.302,2.414,0.000,0.000,0.000,0.000,0.000,29.245,0.000,0.000,0.000,0.000,0.000,8.038,0.303704
52668,833575,0.000,55.000,0.000,0.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.303
124287,176046,0.000,66.500,0.000,0.000,0.000,0.000,0.000,0.000,33.500,0.000,0.000,0.000,0.000,0.000,0.000,0.303
171215,456213,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.303
103442,496545,0.000,16.633,2.419,0.000,0.000,0.000,0.000,0.000,32.863,0.000,0.000,0.000,0.000,0.000,48.085,0.302419
12294,496789,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.302
22778,419245,0.000,66.500,0.000,0.000,0.000,0.000,0.000,0.000,33.500,0.000,0.000,0.000,0.000,0.000,0.000,0.302
76777,294784,0.000,70.000,0.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.302
193612,28067,0.000,66.500,0.000,0.000,0.000,0.000,0.000,0.000,33.500,0.000,0.000,0.000,0.000,0.000,0.000,0.302
52284,496546,0.000,9.039,1.112,0.000,0.000,0.000,0.000,0.000,34.216,0.000,0.000,0.000,0.000,0.000,55.632,0.30198
57135,865064,0.000,95.780,0.000,0.000,0.000,0.000,4.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.301446
171595,798003,0.000,66.700,0.000,0.000,0.000,0.000,0.000,33.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.301402
95529,444505,60.000,0.000,13.300,0.000,26.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.301136
195956,496547,0.000,6.735,1.531,0.000,0.000,0.000,0.000,0.000,27.551,0.000,0.000,0.000,0.000,0.000,64.184,0.30102
22386,176041,0.000,82.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.301
177417,496788,0.000,0.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,50.000,0.301
32135,493242,0.000,63.600,9.100,0.000,0.000,0.000,27.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.301
188235,546248,56.939,0.000,0.000,0.000,0.000,0.000,0.000,43.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300847
35646,865070,0.000,83.730,0.000,0.000,0.000,0.000,16.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300813
4093,239957,0.000,49.000,0.000,0.000,0.000,0.000,0.000,49.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.3006
35218,536018,0.000,34.070,26.850,36.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.500,0.000,0.000,0.3
44780,498817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.300,0.000,0.000,0.000,0.000,0.000,0.000,49.700,0.3
891,143356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.000,0.000,0.000,62.000,0.3
1532,549250,0.000,66.670,0.000,0.000,0.000,0.000,0.000,33.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.3
3502,860463,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.3
