,AtomicNumber,AtomicPeriod,AtomicGroup,AtomicWeight,EmpiricalRadius,CalculaterRadius,MolarVolume,Electronegativity,AbsoluteMeltingPoint,Oxidation_States,Bond dissociation energy,Assumed CN,AtomicNumber Squared,AtomicPeriod Squared,AtomicGroup Squared,AtomicWeight Squared,EmpiricalRadius Squared,CalculaterRadius Squared,MolarVolume Squared,Electronegativity Squared,AbsoluteMeltingPoint Squared,Oxidation_States Squared,Bond dissociation energy Squared,Assumed CN Squared,AtomicNumber Square Root,AtomicPeriod Square Root,AtomicGroup Square Root,AtomicWeight Square Root,EmpiricalRadius Square Root,CalculaterRadius Square Root,MolarVolume Square Root,Electronegativity Square Root,AbsoluteMeltingPoint Square Root,Oxidation_States Square Root,Bond dissociation energy Square Root,Assumed CN Square Root,AtomicNumber Exponential,AtomicPeriod Exponential,AtomicGroup Exponential,AtomicWeight Exponential,EmpiricalRadius Exponential,CalculaterRadius Exponential,MolarVolume Exponential,Electronegativity Exponential,AbsoluteMeltingPoint Exponential,Oxidation_States Exponential,Bond dissociation energy Exponential,Assumed CN Exponential,AtomicNumber Logarithmic,AtomicPeriod Logarithmic,AtomicGroup Logarithmic,AtomicWeight Logarithmic,EmpiricalRadius Logarithmic,CalculaterRadius Logarithmic,MolarVolume Logarithmic,Electronegativity Logarithmic,AbsoluteMeltingPoint Logarithmic,Oxidation_States Logarithmic,Bond dissociation energy Logarithmic,Assumed CN Logarithmic,AtomicNumber Inverse,AtomicPeriod Inverse,AtomicGroup Inverse,AtomicWeight Inverse,EmpiricalRadius Inverse,CalculaterRadius Inverse,MolarVolume Inverse,Electronegativity Inverse,AbsoluteMeltingPoint Inverse,Oxidation_States Inverse,Bond dissociation energy Inverse,Assumed CN Inverse,AtomicNumber Squared Inverse,AtomicPeriod Squared Inverse,AtomicGroup Squared Inverse,AtomicWeight Squared Inverse,EmpiricalRadius Squared Inverse,CalculaterRadius Squared Inverse,MolarVolume Squared Inverse,Electronegativity Squared Inverse,AbsoluteMeltingPoint Squared Inverse,Oxidation_States Squared Inverse,Bond dissociation energy Squared Inverse,Assumed CN Squared Inverse,AtomicNumber Cubed,AtomicPeriod Cubed,AtomicGroup Cubed,AtomicWeight Cubed,EmpiricalRadius Cubed,CalculaterRadius Cubed,MolarVolume Cubed,Electronegativity Cubed,AbsoluteMeltingPoint Cubed,Oxidation_States Cubed,Bond dissociation energy Cubed,Assumed CN Cubed,AtomicNumber Square Root Inverse,AtomicPeriod Square Root Inverse,AtomicGroup Square Root Inverse,AtomicWeight Square Root Inverse,EmpiricalRadius Square Root Inverse,CalculaterRadius Square Root Inverse,MolarVolume Square Root Inverse,Electronegativity Square Root Inverse,AbsoluteMeltingPoint Square Root Inverse,Oxidation_States Square Root Inverse,Bond dissociation energy Square Root Inverse,Assumed CN Square Root Inverse,AtomicNumber Exponential Inverse,AtomicPeriod Exponential Inverse,AtomicGroup Exponential Inverse,AtomicWeight Exponential Inverse,EmpiricalRadius Exponential Inverse,CalculaterRadius Exponential Inverse,MolarVolume Exponential Inverse,Electronegativity Exponential Inverse,AbsoluteMeltingPoint Exponential Inverse,Oxidation_States Exponential Inverse,Bond dissociation energy Exponential Inverse,Assumed CN Exponential Inverse,AtomicNumber Inverse Logarithmic,AtomicPeriod Inverse Logarithmic,AtomicGroup Inverse Logarithmic,AtomicWeight Inverse Logarithmic,EmpiricalRadius Inverse Logarithmic,CalculaterRadius Inverse Logarithmic,MolarVolume Inverse Logarithmic,Electronegativity Inverse Logarithmic,AbsoluteMeltingPoint Inverse Logarithmic,Oxidation_States Inverse Logarithmic,Bond dissociation energy Inverse Logarithmic,Assumed CN Inverse Logarithmic
424,0.5174263483264955,0.8155337305663994,0.9136113618608954,0.464450556758053,0.7659731597613715,0.7109831042945206,0.47916644277078635,0.929509159053379,0.21842826287300288,0.9095341014814285,0.5628972918017366,0.5046254241319739,0.26773002594249184,0.6650952656915486,0.83468572052132,0.21571431967286545,0.5867148814748195,0.5054969745922732,0.22960047987760926,0.8639872767641199,0.047710906021717646,0.8272522817576295,0.31685336111772944,0.25464681868037453,0.7193235352235429,0.9030690619030194,0.955830195097903,0.6815060944394064,0.8751989258227935,0.8431981405900517,0.6922184935197747,0.9641105533357568,0.4673630953263243,0.9536949729769097,0.7502648144500291,0.7103699206272559,1.6777042622564167,2.2603817853019432,2.4933105407371094,1.5911397077108194,2.151086707429953,2.035991867430556,1.6147278729745465,2.5332654419970484,1.2441197638483368,2.4831653607802915,1.7557520643150475,1.6563649699001055,0.41701570789820513,0.596379490915525,0.6489922221838564,0.3814801255399381,0.5687019037431534,0.5370681201064911,0.39147871476718415,0.6572656488375374,0.1975617190410384,0.6468592863778174,0.44654133706121857,0.40854397960322436,0.6590105681918975,0.5508022148880847,0.5225721481019782,0.6828499571974375,0.5662600218313204,0.5844593073362486,0.6760564403602829,0.5182665214663205,0.8207294844277839,0.5236879504923184,0.6398373106445029,0.664617242246126,0.7888114815743609,0.6005662382234203,0.5450524789149465,0.8225616691502724,0.6302329496465806,0.6642324872627695,0.8132722915816827,0.5364843486142239,0.9544617644547755,0.547269805041974,0.7593859950748136,0.7970370506751776,0.13853056966078145,0.5424076232114793,0.7625783578513259,0.10018863587274698,0.4494078516422861,0.35939980820710277,0.11001684520141955,0.8030840870578362,0.010421410322420877,0.7524141607868872,0.1783558988714476,0.12850125888044184,0.581624097799593,0.5254670048600475,0.5112918301938493,0.5947049512974782,0.5332767559906869,0.5425352695287964,0.5909402384085896,0.5091363102253308,0.6814945824827437,0.5118506285944253,0.5713421144869564,0.5846688414827028,0.5960526074214397,0.4424031402581929,0.40107318509324763,0.6284803246087706,0.46488130699053354,0.4911610974468238,0.6192993982062532,0.39474742102496385,0.8037811383260881,0.4027118031663294,0.5695564996474142,0.6037316763951543,2.931589191382406,1.2561433195689458,1.099323920378211,4.290007426113946,1.363527559091945,1.517696215147922,3.7836832312335242,1.0788634255558764,-1.918289923812716,1.104756047329697,2.351049813194696,3.1639447919741293
425,0.7750166309881431,0.9017421771173131,0.9693457401953716,0.7522381669876886,0.808377751978294,0.7182595044435705,0.35197098306988417,0.9356557336837301,0.5482390573274455,0.807196061103396,0.7667218402060821,0.5547601202788565,0.6006507783082116,0.8131389539922717,0.9396311640349128,0.5658622598729978,0.6534745898934802,0.5158967157235234,0.12388357292318068,0.8754516519752393,0.30056606397928604,0.6515654810608374,0.587862380249001,0.3077587910518113,0.8803502887988072,0.949601062087292,0.9845535740605341,0.8673166474752394,0.8990982993968424,0.8475019200235303,0.5932714244508024,0.9672929926778805,0.7404316695870359,0.8984409057380436,0.8756265415153209,0.744822207160109,2.1706282265755568,2.46389191025393,2.6362191227982787,2.121743522561831,2.2442642786902365,2.050860588737943,1.4218672648969186,2.548884299156527,1.7302035444278672,2.241613818392047,2.1526977869993136,1.7415231785700207,0.5738097924542698,0.6427704013689022,0.6777013760126807,0.560893923336653,0.5924301737627096,0.5413118624715105,0.3015635151640385,0.6604461495314403,0.4371181930425731,0.5917765066116207,0.5691257617076401,0.44132127024509615,0.5633750031081708,0.5258336340396119,0.5077828537617746,0.5706986748948187,0.5529818086437082,0.5819842680421158,0.7396608451827322,0.5166207929428176,0.6458950865935328,0.5533433928521531,0.5660200588697956,0.6431860368406178,0.6247458930779004,0.5515297091809448,0.5155619370023694,0.6386257754760031,0.6047870382238059,0.659675550205747,0.8897718803728362,0.5332048943766653,0.7688959659152901,0.6054861351047841,0.6297774998883623,0.7646670065170922,0.46551434260483615,0.7332416906718857,0.9108274662120611,0.42566318913437495,0.5282543199530291,0.3705477193796435,0.04360342294798159,0.8191213577335261,0.16478205558062445,0.5259410898632474,0.4507269259724416,0.1707323039407783,0.5318158036600794,0.512925448927164,0.5038916626241189,0.5355278127853031,0.5265656866301245,0.5412714266555478,0.6276394496591804,0.5083126934940176,0.5745701008975991,0.5267480262237801,0.5331551766121302,0.5731242965021693,0.4606961191035591,0.405861960030925,0.37933113804990753,0.47131049976887973,0.4455803220214354,0.4876001837918097,0.7033005293025697,0.39232851814063063,0.5779666809841577,0.44610717144727424,0.46453338970256436,0.5742099860084023,1.3420491201750002,1.1153576923369262,1.0321343998484178,1.398019301990391,1.2702055000787411,1.4945992992799788,-22.6210866512789,1.0712460877815473,2.506541139680542,1.2725701282727369,1.3617136292583456,2.4343899908463174
426,0.46111640828261025,0.8043858794488645,0.8768816161921374,0.40348266064204574,0.8320408499662814,0.7994346560651024,0.5236599394270711,0.8658574519280482,0.5997969672333066,0.777424516075841,0.7992836236908287,0.6725121756738891,0.2126283419874549,0.6470366430567233,0.768921368815735,0.16279825743878426,0.6922919760126119,0.6390957693179287,0.2742197321607638,0.7497091270593322,0.3597564019022722,0.6043888781957555,0.6388543111003423,0.4522726264296279,0.679055526656407,0.8968756209468872,0.9364195727301611,0.6352028499952167,0.9121627321735313,0.8941110982786773,0.7236435168140948,0.9305146167191831,0.7744656010652161,0.8817168003819826,0.8940266347770791,0.8200683969486259,1.5858434458481903,2.2353233192254707,2.403393305812273,1.4970292744274507,2.2980038389034774,2.224283088016422,1.6881950482796195,2.3770434128547646,1.8217488881226478,2.175861147521085,2.223947174628119,1.959152879882844,0.37920080672155204,0.5902203009001492,0.6296116848599403,0.3389567623737271,0.6054305640198706,0.5874725356048451,0.42111529550684446,0.6237207071855925,0.4698767257146397,0.5751654154508328,0.5873885988459097,0.5143267929183453,0.6844081651067047,0.5542051793851558,0.5327986546262966,0.7125132558050513,0.5458393572492692,0.5557300992450268,0.6563144269422884,0.53594662280694,0.625079319739806,0.5626117964254134,0.5557767473861198,0.5979029716761731,0.824654979085377,0.6071510334731274,0.5653162529601212,0.8599944088346255,0.5909145786746597,0.6100924782547188,0.7847939996222202,0.571523566137339,0.7354258443652258,0.6232902842885374,0.6101823653431345,0.6885759476569302,0.09804641735634173,0.5204671391608233,0.6742530126118124,0.06568627405928938,0.5760152041463701,0.5109153065373403,0.14359788833301323,0.6491412344427948,0.21578079880374942,0.4698667311529556,0.5106257887867897,0.30415884799793313,0.5955729183008935,0.5271826939822324,0.5164170069764883,0.6115449223947507,0.5229680419842262,0.5279521359168298,0.5801663686516544,0.5179965960058112,0.56354994957338,0.5314295965243033,0.5279756797705735,0.549429901467723,0.6305792684757409,0.4473625767687582,0.41607838283548465,0.6679896092095173,0.4351602826203994,0.4495830613412536,0.5923486157710657,0.420690675901046,0.5489230741513019,0.45958815025456934,0.44965096806636906,0.5104246892972433,4.426830681658708,1.2782430606459847,1.1512557614679344,10.825060637658567,1.2253006061100753,1.288411543888177,2.832161380316634,1.1682720523664458,2.0456761390400535,1.3364851664347095,1.2887252645018727,1.6576464799606307
427,0.42144976868926914,0.7842235787644027,0.8447513091304895,0.3634964221012237,0.8466827813025279,0.7965859696673664,0.4600771930437828,0.8372150376858309,0.5131249095197887,0.7304659915126991,0.7235994316488056,0.6514836964204382,0.17761990752823847,0.6150066214900474,0.7136047742776758,0.13212964888039097,0.7168717321541843,0.6345492070708983,0.21167102355904618,0.7009290193272874,0.2632971727696914,0.5335805647566306,0.5235961374824745,0.42443100670163775,0.6491916270942418,0.8855639890851494,0.9191035355880693,0.6029066445986673,0.9201536726561101,0.8925166495182969,0.6782899033921873,0.9149945560962813,0.7163273759390945,0.8546730319325041,0.8506464786553846,0.8071453998013234,1.5241696480531255,2.1907053700806336,2.3273989397267556,1.4383497106263912,2.3318985900879374,2.2179558195195486,1.5841962692066451,2.3099249566003857,1.6705032185639945,2.0760478029603604,2.0618413270687577,1.9183850195209884,0.35167731464971264,0.5789833507248769,0.6123444766080668,0.31005229924522193,0.6133909383901175,0.5858881804021833,0.37848930627036936,0.60825085854695,0.41417698891326626,0.5483907314948918,0.5444147970129178,0.5016740938171986,0.7035070967876047,0.5604678762806804,0.5420784877888732,0.733408598505117,0.541511520075292,0.5566112709792271,0.6848952951010264,0.5443020982778407,0.6608839717782214,0.5778790250167487,0.5801812077899062,0.6055161199395928,0.8491704272382307,0.6191925077541626,0.5835651341608354,0.8832910621048929,0.5824546943558127,0.6117894742318547,0.8253065234346332,0.5879140097189343,0.791579385717748,0.6520687748535035,0.6563419106931825,0.7020347038889337,0.07485786894238548,0.4823026936687294,0.602818567272834,0.048028654621513074,0.6069629520174656,0.50547299541623,0.0973850103677504,0.5868283153311874,0.13510433795426408,0.38976245628685807,0.3788738674958284,0.27650988112143077,0.6063576746153682,0.5303453002860893,0.5210766284652646,0.6238666508556262,0.5207916502936559,0.5283969365630312,0.5958446141985264,0.5221946959674398,0.5826394276632956,0.5391785952470745,0.5403517157564125,0.5533589052158944,0.6560949440748506,0.45647398032497305,0.4296641984882073,0.6952412147144015,0.42883511497911636,0.4508656084126234,0.6312349166816263,0.432914496699383,0.598622013347346,0.481684476905609,0.48500337386372133,0.5212717936307151,7.355898755316953,1.3211106331694682,1.2029539790795818,-83.43188746083952,1.1996581091249732,1.2943647082003085,4.471491855037825,1.2160632124945523,3.0051325419629564,1.4578802447150887,1.4782344265841503,1.7497901791068229
428,0.411072945821904,0.7633720430107528,0.8760010412632728,0.35323697441934926,0.8029987253060528,0.7546722664478566,0.39418783056003526,0.8679065169324239,0.5623576202533902,0.7808539325842698,0.7788152872513806,0.5680306796742599,0.16898096678669802,0.5827368760504106,0.7673778242943382,0.124776360096936,0.6448069528431456,0.5695302297455446,0.15538404576162707,0.7532617221337718,0.3162460930570562,0.6097328640323194,0.6065532516564505,0.3226588530512017,0.6411497062480057,0.8737116475192217,0.9359492728045002,0.5943374247170956,0.8961019614452659,0.868718749911533,0.627843794713331,0.9316150046732953,0.7499050741616503,0.883659398515214,0.882505120240886,0.7536781008323513,1.5084353866039582,2.1454987503781555,2.401277869459776,1.4236684764729308,2.2322247308294063,2.1269143479232984,1.4831791088755275,2.3819191229434273,1.754804790511337,2.18333589133956,2.1788893777866054,1.7647881938048449,0.3443503694946273,0.5672279095192273,0.6291424056282674,0.3024994812426396,0.5894512372359345,0.5622820967144738,0.3323120454135294,0.6248182940856609,0.446195975438633,0.5770929866736875,0.5759475737547477,0.44982048785559026,0.708680584487808,0.5670953012800499,0.5330487446460126,0.7389688716043861,0.5546315623879621,0.5699069958086198,0.7172634691541577,0.5353586975231788,0.6400583240588767,0.5615283666464769,0.5621719169870619,0.6377426238928809,0.8554459212016139,0.6318169590484412,0.5658099735404739,0.8890656271561553,0.6079740836889345,0.6371333161019281,0.8655130765119764,0.5703655006983043,0.759736348145538,0.6212210872647764,0.6224505779493718,0.75605285345736,0.06946350380484129,0.44484503960830574,0.6722237731241851,0.04407562391970089,0.517779161201526,0.4298086692926386,0.061250499902417016,0.6537607575956413,0.17784340030599832,0.47611230470550653,0.47239294492207745,0.18328012760159124,0.6093289333647681,0.5337000500178304,0.516542460098325,0.6272197995837947,0.5273977983956991,0.5351260054769296,0.6143095567570127,0.517701507588535,0.5714595693021137,0.5308815387687633,0.5312070544977002,0.57023007787197,0.6629385712379549,0.4660920915585454,0.41644493239134106,0.7024107202805047,0.4479835682263226,0.4701646782233576,0.674227403835367,0.41982953592658606,0.5698639560407215,0.45801473056280945,0.458949412574509,0.5666402367776622,9.007758998453452,1.3698813307383373,1.1525889444782116,-24.620759277235205,1.2810693792459713,1.3917336468759183,14.477595365320054,1.165054791335306,2.356363706005976,1.3286691250053753,1.3333002256002142,2.301918996797084
429,0.4335082621715457,0.8006666666666666,0.7763230165064116,0.3775946951988285,0.8746226950953074,0.8576516692405662,0.45989416422225377,0.8182831236333526,0.5488822065270037,0.7157303370786517,0.7240992677456908,0.7171636402755915,0.1879294133709936,0.641067111111111,0.6026774259576142,0.14257775384229618,0.7649648587757791,0.7355663857511296,0.21150264228568533,0.6695872704231567,0.30127167664195237,0.5122699154147204,0.5243197495498456,0.5143236869333381,0.6584134431886591,0.8947997913872503,0.8810919455462134,0.6144873434000317,0.9352126469928149,0.9260948489439763,0.6781549706536506,0.904590030695316,0.7408658492109106,0.8460084734083057,0.8509402257184054,0.8468551471624834,1.5426600972473434,2.2270251171193682,2.1734657569070115,1.4587715759184263,2.3979703572821984,2.357617721672442,1.5839063421637334,2.2666050144424466,1.7313166813707357,2.0456801728977068,2.0628721673942167,2.0486143551134908,0.3601247699602171,0.5881569667023141,0.5745455066955794,0.3203390039281286,0.6284074098905429,0.619313146626643,0.378363942833969,0.5978927172017743,0.43753351369295185,0.539838842492447,0.5447047504827351,0.5406738833003955,0.69758928245391,0.5553498704183636,0.5629606725283293,0.7259029114188552,0.5334406772180676,0.5383140534677385,0.6849811613109239,0.5499693568082882,0.6456268887240042,0.5828421741977734,0.5800130066220193,0.5823556803471029,0.8418008584889691,0.6093596009750837,0.6239558777103826,0.8752139595201892,0.5665835186620222,0.5761807835239985,0.8254212290559654,0.5989504218887283,0.7684790332028045,0.6612576166509025,0.6560303376606614,0.6603607991004243,0.08146895340137748,0.5132810669629629,0.46787235729973453,0.05383660350421543,0.6690556264356732,0.6308597385767066,0.09726883090477356,0.5479119631869911,0.16536266263932475,0.3666471192350303,0.37965954671364716,0.36885424760107643,0.6029859466631453,0.5277602438766708,0.5316061250316128,0.6193916626772984,0.5167390785472232,0.5191852314792659,0.595892523329055,0.5250473770646201,0.5744268005793061,0.5417093227929171,0.5402659611073448,0.5414609811367201,0.6482309367982987,0.4490295113031723,0.4600946653160377,0.6855082841673901,0.4170193334388736,0.4241569745627048,0.6313504614382224,0.44118847069875833,0.5775950816856161,0.4888349670923875,0.4847610122459416,0.48813482025249266,6.091782092849161,1.2858603383409308,1.3390225491767105,38.36399584985795,1.1546846652777152,1.181414797812031,4.47946176576514,1.25085509291105,2.499196636702592,1.5025207952618111,1.476727045758892,1.4980179020491984
