,Index,MolarVolume,AtomicPeriod Exponential,AtomicNumber Cubed,AbsoluteMeltingPoint,Electronegativity Exponential,AtomicGroup Exponential,Bond dissociation energy Cubed,EmpiricalRadius Exponential,AbsoluteMeltingPoint Cubed,Oxidation_States Exponential,AtomicPeriod Square Root,Assumed CN Cubed,CalculaterRadius Exponential,AtomicNumber Inversed Log,Bond dissociation energy Inversed Log,AtomicGroup Inversed Log,Electronegativity Inversed Log,AbsoluteMeltingPoint Inversed Log,AtomicWeight Inversed Log,Assumed CN Inversed Log,EmpiricalRadius Inversed Log,AtomicPeriod Inversed Log,MolarVolume Inversed Log,Oxidation_States Inversed Log,CalculaterRadius Inversed Log,Young's modulus E (GPa)
0,# 3556,0.3319748491345603,1.5038473973514943,0.011845450330730756,0.4891341275782266,1.641101768863328,1.8202091521541084,0.1518177997638366,1.6046278616050704,0.11702641355594635,1.6607119181908727,0.6387697205197213,0.054595346722545735,1.5576626806989484,-2.0894108731719245,2.6907619324700325,2.051596828344402,3.3608328825147846,3.5102319103055297,-1.3857848754187474,32.54029902960906,3.9822951298842453,9.654609125305052,-9.737471103616206,3.1129222808981494,5.369554013195101,68.9
1,# 2245,0.4430939998734543,1.4981863980420296,0.00818780254338985,0.4777281449332577,1.2952372429300931,1.3772978517414782,0.1180936490014311,1.9918705633333618,0.10902911436072414,1.2817508364442802,0.6358107490628104,0.2092499879543776,1.9435708376737368,-1.6619488308078199,3.4733371219244815,-7.191739578639169,-2.8400227432103184,3.8272156457302695,-1.2023128714587294,2.089464791117603,1.5933877016347544,10.605426531007117,5.375573648268284,-2.541866496573728,1.69113139435155,79.0
2,# 3751,0.041466810079909586,1.0000000000000004,3.606440826533118e-05,0.9394621964848018,1.8203837997688117,1.9757803415774853,0.8654529965019913,1.1009687431832944,0.8291592059223534,1.4466463794362374,2.107342425544701e-08,0.0009812231494050806,1.151740752017012,-0.4149260461636141,1.0506049118471603,1.6240269585087492,2.0509228662042105,1.0666071628964575,-0.37176152539100094,-0.7639982329179464,-0.7454758859863319,-0.029111652501670717,-0.4581141788179343,269.3005485044792,-1.0448769357178502,40.0
3,# 591,0.2266743675520129,1.327547603940687,0.0054484980507942884,0.5073677003688402,1.7269033715478042,1.907102581516348,0.2236096644802659,1.3958721147259088,0.13060759973066102,1.7236505327024392,0.5322906474223773,0.011489120600866515,1.4142312001462083,-1.3559841167141855,1.9971418456374148,1.7780882394457067,2.528651979395105,3.1106065525609266,-1.0054371481164512,-2.045889679090381,-10.198434088893306,-3.8294923411445554,-2.0650882973155387,2.550951247577617,-16.771737116820063,76.4
4,# 3558,0.3236900781803569,1.4789085475276431,0.010721810467546215,0.485322209521123,1.6530133602181485,1.8202091521541084,0.14558994147635976,1.5835712760848324,0.11431165129387932,1.6607119181908727,0.6255432421712245,0.05052858789218368,1.5293182414779418,-1.9537924812723657,2.7957983259525774,2.051596828344402,3.2047260779991187,3.6093559297352633,-1.3234441058539952,202.9221602533577,4.488713788043,16.19948396876653,-7.814406605282091,3.1129222808981494,6.948542239353008,66.6
5,# 2611,0.4209823813040807,1.8417464622475213,0.08919401774173254,0.4573352346352419,1.6116999200251263,1.7745821391732333,0.11425064307464115,1.875940918009628,0.0956541873687607,1.5168967963882145,0.7814821083775917,0.14705369735930401,1.7502182461833191,5.145279605068355,3.6116756251410886,2.2516641997372533,3.8407193860107953,4.594291910382079,9.410277529340359,2.7699743260011784,1.8637543050755363,1.972877070174134,7.41643325114455,8.030112108008101,2.3825521474634948,67.0
6,# 996,0.291784407273857,1.338591793025076,0.004409853354648892,0.6214431110899553,1.5692486986216676,1.7053172105485448,0.2643225563091814,1.552970547386223,0.2399960722938052,1.4627045529480958,0.5400168151566405,0.055581359459462985,1.5360624256203892,-1.2376677531982458,1.7970368129108214,2.686912208732387,4.9305283083704605,1.9073446567725407,-0.9554003779514288,27.24978678178305,5.57398747757218,-4.304592973691005,-4.315179303964964,30.146486893636865,6.484258817913176,76.9
7,# 1238,0.20157020928302075,1.1203446527472556,0.00032364715804794733,0.8306469021314441,1.493139707622955,1.5838347690868286,0.5449571984912154,1.4276930316680283,0.5731249949268682,1.2362977302671287,0.33709993123162113,0.03851842148537537,1.4625830861817235,-0.5957278386080714,1.2536816567711386,4.481434353436697,11.64014687766215,1.227823182919889,-0.5259559694286691,-11.690497721024101,-30.621898473122393,-0.8512436983166265,-1.6621856216775337,-1.81620904395612,30.34628756128659,67.5
8,# 4533,0.19983456037050432,1.1915748390609162,0.0013124331515207788,0.7740551775957822,1.649531018879587,1.788552210955308,0.4683495742303968,1.3696286176615884,0.4637839977897653,1.4222261108463166,0.4186595590429428,0.024791718095618104,1.3784807012441536,-0.8251114423016483,1.3384135397385308,2.184861858206215,3.2485001528195916,1.344288602635647,-0.6894062985834473,-4.302644396399118,-6.383852242374173,-1.3488097651441158,-1.6386311813162764,-22.99387063463081,-7.332970526792773,67.6
9,# 4601,0.29848979454849056,1.203018870682944,0.0007719825604006662,0.7674212310661175,1.3315839338416104,1.3944844476943214,0.3976218154987161,1.6669755579874923,0.45196148816204795,1.129350817652065,0.4299233922720991,0.11172125050354627,1.6833019141071743,-0.7200204027833932,1.4438723068746202,-9.896981417634873,-3.9924378982915063,1.360025068030675,-0.6251838830822646,3.7117152567579086,3.042882836239984,-1.4528622743017174,-4.784241797913905,-0.9036158184613254,2.8774593707095493,56.0
