,Index,MolarVolume Exponential,AbsoluteMeltingPoint Cubed,Electronegativity Exponential,AtomicPeriod Exponential,AtomicPeriod Square Root,AbsoluteMeltingPoint Square Root,AtomicNumber Inversed Log,AtomicWeight Inversed Log,AbsoluteMeltingPoint Inversed Log,Electronegativity Inversed Log,AtomicPeriod Inversed Log,Assumed CN Inversed Log,EmpiricalRadius Inversed Log,AtomicGroup Inversed Log,Oxidation_States Inversed Log,CalculaterRadius Inversed Log,MolarVolume Inversed Log,Bond dissociation energy Inversed Log,Shear modulus G (GPa)
0,# 3556,1.3937177948629842,0.11702641355594635,1.641101768863328,1.5038473973514943,0.6387697205197213,0.6993812462299991,-2.0894108731719245,-1.3857848754187474,3.5102319103055297,3.3608328825147846,9.654609125305052,32.54029902960906,3.9822951298842453,2.051596828344402,3.1129222808981494,5.369554013195101,-9.737471103616206,2.6907619324700325,29.9
1,# 2245,1.5575187340247967,0.10902911436072414,1.2952372429300931,1.4981863980420296,0.6358107490628104,0.6911788082206063,-1.6619488308078199,-1.2023128714587294,3.8272156457302695,-2.8400227432103184,10.605426531007117,2.089464791117603,1.5933877016347544,-7.191739578639169,-2.541866496573728,1.69113139435155,5.375573648268284,3.4733371219244815,33.0
2,# 3751,1.0423385661436448,0.8291592059223534,1.8203837997688117,1.0000000000000004,2.107342425544701e-08,0.9692585808156676,-0.4149260461636141,-0.37176152539100094,1.0666071628964575,2.0509228662042105,-0.029111652501670717,-0.7639982329179464,-0.7454758859863319,1.6240269585087492,269.3005485044792,-1.0448769357178502,-0.4581141788179343,1.0506049118471603,15.0
3,# 591,1.254421321140232,0.13060759973066102,1.7269033715478042,1.327547603940687,0.5322906474223773,0.7122974802488354,-1.3559841167141855,-1.0054371481164512,3.1106065525609266,2.528651979395105,-3.8294923411445554,-2.045889679090381,-10.198434088893306,1.7780882394457067,2.550951247577617,-16.771737116820063,-2.0650882973155387,1.9971418456374148,32.15
4,# 3558,1.382218860945971,0.11431165129387932,1.6530133602181485,1.4789085475276431,0.6255432421712245,0.6966507084049531,-1.9537924812723657,-1.3234441058539952,3.6093559297352633,3.2047260779991187,16.19948396876653,202.9221602533577,4.488713788043,2.051596828344402,3.1129222808981494,6.948542239353008,-7.814406605282091,2.7957983259525774,27.6
5,# 2611,1.5234574368389722,0.0956541873687607,1.6116999200251263,1.8417464622475213,0.7814821083775917,0.6762656538929371,5.145279605068355,9.410277529340359,4.594291910382079,3.8407193860107953,1.972877070174134,2.7699743260011784,1.8637543050755363,2.2516641997372533,8.030112108008101,2.3825521474634948,7.41643325114455,3.6116756251410886,27.03
6,# 996,1.338814347887802,0.2399960722938052,1.5692486986216676,1.338591793025076,0.5400168151566405,0.7883166312402367,-1.2376677531982458,-0.9554003779514288,1.9073446567725407,4.9305283083704605,-4.304592973691005,27.24978678178305,5.57398747757218,2.686912208732387,30.146486893636865,6.484258817913176,-4.315179303964964,1.7970368129108214,32.6
7,# 1238,1.2233221226169253,0.5731249949268682,1.493139707622955,1.1203446527472556,0.33709993123162113,0.9113983224317698,-0.5957278386080714,-0.5259559694286691,1.227823182919889,11.64014687766215,-0.8512436983166265,-11.690497721024101,-30.621898473122393,4.481434353436697,-1.81620904395612,30.34628756128659,-1.6621856216775337,1.2536816567711386,26.68
8,# 4533,1.2212007064545354,0.4637839977897653,1.649531018879587,1.1915748390609162,0.4186595590429428,0.8798040563647012,-0.8251114423016483,-0.6894062985834473,1.344288602635647,3.2485001528195916,-1.3488097651441158,-4.302644396399118,-6.383852242374173,2.184861858206215,-22.99387063463081,-7.332970526792773,-1.6386311813162764,1.3384135397385308,27.87
9,# 4601,1.3478217819967582,0.45196148816204795,1.3315839338416104,1.203018870682944,0.4299233922720991,0.8760258164381444,-0.7200204027833932,-0.6251838830822646,1.360025068030675,-3.9924378982915063,-1.4528622743017174,3.7117152567579086,3.042882836239984,-9.896981417634873,-0.9036158184613254,2.8774593707095493,-4.784241797913905,1.4438723068746202,21.0
